Force,Time,Velocity,Amplitude,Impulse
245.25,0.001,0.0005054412942318559,90.01556523672905,0.24525000000000002
245.25,0.002,0.000951801715577502,90.02723916218523,0.49050000000000005
245.25,0.003,0.001535835811625215,90.04280439152872,0.73575
245.25,0.004,0.0019615364884020153,90.05447831005799,0.9810000000000001
245.25,0.005000000000000001,0.0023825542861222906,90.06615222169378,1.2262500000000003
245.25,0.006000000000000001,0.002942252229171136,90.08171740073509,1.4715000000000003
245.25,0.007000000000000001,0.0033621399360009734,90.09339124535649,1.7167500000000002
245.25,0.008,0.0037822370602039286,90.10506504480216,1.9620000000000002
245.25,0.009,0.0042024379859766986,90.1167387899542,2.20725
245.25,0.01,0.004762741069927724,90.13230370658437,2.4525
245.25,0.011,0.005182960046015622,90.1439773364176,2.69775
245.25,0.011999999999999999,0.005603166841836975,90.15565091200811,2.9429999999999996
245.25,0.012999999999999998,0.006163425685262451,90.17121558659417,3.1882499999999996
245.25,0.013999999999999999,0.0065836082505100245,90.18288901693415,3.4335
245.25,0.015,0.007143836044685029,90.19845348167931,3.67875
245.25,0.016,0.007563994432850217,90.21012674262624,3.9240000000000004
245.25,0.017,0.007984141399696625,90.22179992297542,4.169250000000001
245.25,0.018000000000000002,0.00840427628014111,90.23347301893139,4.414500000000001
245.25,0.019000000000000003,0.008964436201083677,90.24903700702053,4.659750000000001
245.25,0.020000000000000004,0.009384540375615036,90.26070988734664,4.905000000000001
245.25,0.021000000000000005,0.009804630330378475,90.27238266837331,5.1502500000000015
245.25,0.022000000000000006,0.010364727053073322,90.28794621325123,5.395500000000002
245.25,0.023000000000000007,0.010784781359305665,90.29961874370127,5.640750000000002
245.25,0.024000000000000007,0.011204819329258726,90.3112911599766,5.886000000000002
245.25,0.02500000000000001,0.01176484344583104,90.32685419525079,6.131250000000002
245.25,0.02600000000000001,0.012184840828074207,90.33852632605229,6.376500000000002
245.25,0.02700000000000001,0.012604819757511371,90.35019832781889,6.621750000000002
245.25,0.02800000000000001,0.013164761862687408,90.36576078716477,6.867000000000003
245.25,0.029000000000000012,0.013584695268683531,90.3774324685855,7.112250000000003
245.25,0.030000000000000013,0.01400460810770682,90.38910400611913,7.3575000000000035
245.25,0.031000000000000014,0.014564458804727733,90.40466582324774,7.602750000000003
245.25,0.032000000000000015,0.014984321189931347,90.41633700557713,7.848000000000003
245.25,0.033000000000000015,0.015404160896257998,90.42800802917176,8.093250000000003
245.25,0.034000000000000016,0.0159639107998171,90.44356913781398,8.338500000000003
245.25,0.03500000000000002,0.016383695128139517,90.45523977135373,8.583750000000004
245.25,0.03600000000000002,0.016803454668983926,90.46691023131365,8.829000000000004
245.25,0.03700000000000002,0.017363094406085723,90.48247056521173,9.074250000000005
245.25,0.03800000000000002,0.0177827936523926,90.49414060027058,9.319500000000005
245.25,0.03900000000000002,0.01820246600593923,90.50581044690597,9.564750000000005
245.25,0.04000000000000002,0.01876198622117253,90.52136993980876,9.810000000000006
245.25,0.04100000000000002,0.019181593373434367,90.53303932669948,10.055250000000006
