Force,Time,Velocity,Amplitude,Impulse
0.0004905,0.0001,0.0020479053226528502,90.00008770612457,4.9050000000000006e-08
0.0004905,0.0002,0.0033931523955400473,90.00015348352191,9.810000000000001e-08
0.0004905,0.0003,0.005422891409851548,90.00024118117261,1.4715000000000002e-07
0.0004905,0.0004,0.0071851031820866565,90.00030694848272,1.9620000000000002e-07
0.0004905,0.0005,0.009121543192654236,90.00037270821633,2.4525e-07
0.0004905,0.0006000000000000001,0.011913109361859194,90.00046037469316,2.9430000000000003e-07
0.0004905,0.0007000000000000001,0.014135649727279423,90.00052611295952,3.4335e-07
0.0004905,0.0008,0.016456585021720305,90.00059183805838,3.9240000000000005e-07
0.0004905,0.0009,0.019693904398236067,90.00067945080721,4.4145e-07
0.0004905,0.001,0.022222078124173962,90.00074514320761,4.905e-07
0.0004905,0.0010999999999999998,0.02482981867845577,90.00081081667179,5.3955e-07
0.0004905,0.0012,0.027511177209974157,90.00087647349774,5.886e-07
0.0004905,0.0012999999999999997,0.03119068314966296,90.00096398291149,6.376499999999999e-07
0.0004905,0.0014,0.03402131352547346,90.0010295881489,6.867e-07
0.0004905,0.0015,0.03690692792313212,90.00109517186193,7.3575e-07
0.0004905,0.0016,0.04083137392463346,90.00118257580078,7.848000000000001e-07
0.0004905,0.0017000000000000001,0.04382635301298882,90.00124809616739,8.338500000000001e-07
0.0004905,0.0018000000000000002,0.046860667356463166,90.00131358967622,8.829000000000002e-07
0.0004905,0.0019000000000000004,0.050960369871585816,90.00140086566324,9.319500000000001e-07
0.0004905,0.0020000000000000005,0.05407046806022567,90.00146628452359,9.810000000000002e-07
0.0004905,0.0021000000000000007,0.05720667102743666,90.00153167077075,1.0300500000000002e-06
0.0004905,0.0022000000000000006,0.06142277238494329,90.00161879637571,1.0791000000000004e-06
0.0004905,0.002300000000000001,0.06460638930478797,90.00168409718962,1.1281500000000004e-06
0.0004905,0.0024000000000000007,0.06780496121623618,90.0017493591591,1.1772000000000006e-06
0.0004905,0.0025000000000000005,0.0720878549153726,90.00183631205508,1.2262500000000003e-06
0.0004905,0.0026000000000000007,0.07530998988782826,90.00190147837203,1.2753000000000003e-06
0.0004905,0.0027000000000000006,0.0785377273874501,90.0019665990299,1.3243500000000005e-06
0.0004905,0.002800000000000001,0.082845801033216,90.00205335689529,1.3734000000000005e-06
0.0004905,0.002900000000000001,0.0860771404158536,90.0021183723095,1.4224500000000007e-06
0.0004905,0.003000000000000001,0.08930627402299943,90.00218333459986,1.4715000000000006e-06
0.0004905,0.003100000000000001,0.09360478396768616,90.00226987569259,1.5205500000000006e-06
0.0004905,0.0032000000000000015,0.09682089583096246,90.00233472331428,1.5696000000000008e-06
0.0004905,0.0033000000000000013,0.10002831666208432,90.00239951253236,1.6186500000000006e-06
0.0004905,0.0034000000000000015,0.10428840454973966,90.00248581487962,1.6677000000000008e-06
0.0004905,0.0035000000000000014,0.10746903521932492,90.00255047580282,1.716750000000001e-06
0.0004905,0.0036000000000000016,0.1106356196223507,90.00261507621296,1.7658000000000007e-06
0.0004905,0.003700000000000002,0.11483345396279276,90.00270111714322,1.814850000000001e-06
0.0004905,0.0038000000000000017,0.1179619145702069,90.00276557431174,1.863900000000001e-06
