Force,Time,Velocity,Amplitude,Impulse
2.4524999999999995e-07,5e-05,0.08438639961165778,90.00373792740034,1.22625e-11
2.4524999999999995e-07,0.0001,0.1656962674486683,90.00738681857946,2.4525e-11
2.4524999999999995e-07,0.00015000000000000001,0.24422635083962188,90.01100470305842,3.67875e-11
2.4524999999999995e-07,0.0002,0.31865926101496633,90.01457639418057,4.905e-11
2.4524999999999995e-07,0.00025,0.38774638675036277,90.01808689880131,6.131249999999999e-11
2.4524999999999995e-07,0.0003,0.44914792155863276,90.02145361734493,7.357499999999999e-11
2.4524999999999995e-07,0.00035,0.5043365343813951,90.02479980400206,8.583749999999998e-11
2.4524999999999995e-07,0.00039999999999999996,0.5510648263249376,90.0280418863878,9.809999999999999e-11
2.4524999999999995e-07,0.00045,0.5885489848410429,90.03116625246336,1.1036249999999998e-10
2.4524999999999995e-07,0.0004999999999999999,0.6161602081205168,90.03415978350378,1.2262499999999995e-10
2.4524999999999995e-07,0.0005499999999999999,0.6334352226383969,90.03700990916295,1.3488749999999996e-10
2.4524999999999995e-07,0.0006,0.6400840327873316,90.03970466027172,1.4714999999999998e-10
2.4524999999999995e-07,0.0006500000000000001,0.6359947765944415,90.04223271914883,1.594125e-10
2.4524999999999995e-07,0.0007000000000000001,0.6212356100168911,90.04458346721309,1.7167499999999998e-10
2.4524999999999995e-07,0.0007500000000000001,0.5960535899156036,90.0467470296952,1.8393750000000002e-10
2.4524999999999995e-07,0.0008000000000000001,0.5608705737261246,90.04871431725817,1.9620000000000003e-10
2.4524999999999995e-07,0.0008500000000000002,0.5162762025531069,90.0504770643458,2.0846250000000004e-10
2.4524999999999995e-07,0.0009000000000000003,0.4630180789688529,90.05202786409214,2.2072500000000003e-10
2.4524999999999995e-07,0.0009500000000000003,0.40198929703890507,90.05336019963724,2.3298750000000007e-10
4.904999999999999e-07,5e-05,0.16877280669500777,90.00747585858394,2.4525e-11
4.904999999999999e-07,0.0001,0.33139262210417275,90.01477366635547,4.905e-11
4.904999999999999e-07,0.00015000000000000001,0.4884531290966502,90.02200950242967,7.3575e-11
4.904999999999999e-07,0.0002,0.6373199411684501,90.0291530112505,9.81e-11
4.904999999999999e-07,0.00025,0.7754964677979768,90.0361742207472,1.2262499999999998e-10
4.904999999999999e-07,0.0003,0.8983038258144767,90.04290798270546,1.4714999999999998e-10
4.904999999999999e-07,0.00035,1.0086884764945696,90.04960075199509,1.7167499999999995e-10
4.904999999999999e-07,0.00039999999999999996,1.10215649714069,90.05608540373542,1.9619999999999998e-10
4.904999999999999e-07,0.00045,1.1771409871883278,90.06233465729261,2.2072499999999995e-10
4.904999999999999e-07,0.0004999999999999999,1.2323846388821813,90.06832223122443,2.452499999999999e-10
4.904999999999999e-07,0.0005499999999999999,1.2669605452792991,90.07402287417185,2.6977499999999993e-10
4.904999999999999e-07,0.0006,1.2802874714310646,90.07941262671045,2.9429999999999996e-10
4.904999999999999e-07,0.0006500000000000001,1.272111411027499,90.08446884168727,3.18825e-10
4.904999999999999e-07,0.0007000000000000001,1.2425712956166521,90.0891702790163,3.4334999999999996e-10
4.904999999999999e-07,0.0007500000000000001,1.1921718621980668,90.09349720901601,3.6787500000000004e-10
4.904999999999999e-07,0.0008000000000000001,1.1217595882636895,90.09743150287723,3.9240000000000006e-10
4.904999999999999e-07,0.0008500000000000002,1.0325178663544923,90.10095658548124,4.169250000000001e-10
4.904999999999999e-07,0.0009000000000000003,0.9259467358683486,90.10405766187776,4.4145000000000006e-10
4.904999999999999e-07,0.0009500000000000003,0.8038371943735135,90.10672171947081,4.659750000000001e-10
7.357499999999999e-07,5e-05,0.25315922858085105,90.01121379733952,3.67875e-11
7.357499999999999e-07,0.0001,0.49708915117857266,90.02216057235147,7.3575e-11
7.357499999999999e-07,0.00015000000000000001,0.7326807631432375,90.03301449262062,1.103625e-10
7.357499999999999e-07,0.0002,0.9559834698203122,90.04373006464232,1.4715e-10
7.357499999999999e-07,0.00025,1.1632540004261709,90.05426244357182,1.839375e-10
7.357499999999999e-07,0.0003,1.347475963824146,90.06436368481043,2.2072499999999998e-10
7.357499999999999e-07,0.00035,1.5130721592672658,90.07440328839758,2.5751249999999994e-10
7.357499999999999e-07,0.00039999999999999996,1.6533044993581179,90.08413029407653,2.9429999999999996e-10
7.357499999999999e-07,0.00045,1.765825511664725,90.09350379555767,3.310874999999999e-10
7.357499999999999e-07,0.0004999999999999999,1.8487223765611938,90.10248452033974,3.6787499999999993e-10
7.357499999999999e-07,0.0005499999999999999,1.900543135447108,90.11103459638481,4.0466249999999995e-10
7.357499999999999e-07,0.0006,1.9204472864260203,90.11911816883342,4.4144999999999996e-10
7.357499999999999e-07,0.0006500000000000001,1.9080977544212618,90.12670150032777,4.782375e-10
7.357499999999999e-07,0.0007000000000000001,1.8637042195876863,90.13375277061914,5.15025e-10
7.357499999999999e-07,0.0007500000000000001,1.788023424878871,90.14024236654309,5.518125000000002e-10
7.357499999999999e-07,0.0008000000000000001,1.6824043192045222,90.14614303852565,5.886000000000001e-10
7.357499999999999e-07,0.0008500000000000002,1.548555812722506,90.1514300111845,6.253875000000001e-10
7.357499999999999e-07,0.0009000000000000003,1.3887233037736715,90.15608108526746,6.621750000000002e-10
7.357499999999999e-07,0.0009500000000000003,1.2055887538069154,90.1600767312476,6.989625000000002e-10
9.809999999999998e-07,5e-05,0.33754567272129316,90.01495174744191,4.905e-11
